Місце,Preview_pts,Адреса,Слот,Заявлено,Зараховано,База_очок
9,56,0x1efe7878aa62c5055caf040ec5dd3d15bc5bc6da8aba80aeb3f284df72fed78d,2,Gabriel (ARS),Gabriel (ARS),6
9,56,0x1efe7878aa62c5055caf040ec5dd3d15bc5bc6da8aba80aeb3f284df72fed78d,3,Saliba (ARS),Saliba (ARS),8
9,56,0x1efe7878aa62c5055caf040ec5dd3d15bc5bc6da8aba80aeb3f284df72fed78d,4,Maguire (MUN),Maguire (MUN),1
9,56,0x1efe7878aa62c5055caf040ec5dd3d15bc5bc6da8aba80aeb3f284df72fed78d,5,O'Reilly (MCI),Mykolenko (EVE),1
9,56,0x1efe7878aa62c5055caf040ec5dd3d15bc5bc6da8aba80aeb3f284df72fed78d,6,Rogers (AVL),Rogers (AVL),12
9,56,0x1efe7878aa62c5055caf040ec5dd3d15bc5bc6da8aba80aeb3f284df72fed78d,7,Saka (ARS),Saka (ARS),8
9,56,0x1efe7878aa62c5055caf040ec5dd3d15bc5bc6da8aba80aeb3f284df72fed78d,8,Semenyo (MCI),Semenyo (MCI),0
9,56,0x1efe7878aa62c5055caf040ec5dd3d15bc5bc6da8aba80aeb3f284df72fed78d,9,Watkins (AVL),Watkins (AVL),17
9,56,0x1efe7878aa62c5055caf040ec5dd3d15bc5bc6da8aba80aeb3f284df72fed78d,10,Haaland (MCI),Thiago (BRE),2
9,56,0x1efe7878aa62c5055caf040ec5dd3d15bc5bc6da8aba80aeb3f284df72fed78d,11,Richarlison (TOT),Richarlison (TOT),0
9,56,0x1efe7878aa62c5055caf040ec5dd3d15bc5bc6da8aba80aeb3f284df72fed78d,Лава1,Thiago (BRE),Thiago (BRE),2
9,56,0x1efe7878aa62c5055caf040ec5dd3d15bc5bc6da8aba80aeb3f284df72fed78d,Лава2,Palmer (CHE),Palmer (CHE),0
9,56,0x1efe7878aa62c5055caf040ec5dd3d15bc5bc6da8aba80aeb3f284df72fed78d,Лава3,Mykolenko (EVE),Mykolenko (EVE),1
10,53,0xfa26c6ccb1bf0aa785439105cde285ff8510d2505c5b603f4b6b183e68270811,1,Raya (ARS),Raya (ARS),6
10,53,0xfa26c6ccb1bf0aa785439105cde285ff8510d2505c5b603f4b6b183e68270811,2,Gabriel (ARS),Gabriel (ARS),6
10,53,0xfa26c6ccb1bf0aa785439105cde285ff8510d2505c5b603f4b6b183e68270811,3,Saliba (ARS),Saliba (ARS),8
10,53,0xfa26c6ccb1bf0aa785439105cde285ff8510d2505c5b603f4b6b183e68270811,4,Mykolenko (EVE),Mykolenko (EVE),1
10,53,0xfa26c6ccb1bf0aa785439105cde285ff8510d2505c5b603f4b6b183e68270811,5,Maguire (MUN),Maguire (MUN),1
10,53,0xfa26c6ccb1bf0aa785439105cde285ff8510d2505c5b603f4b6b183e68270811,6,B.Fernandes (MUN),B.Fernandes (MUN),9
10,53,0xfa26c6ccb1bf0aa785439105cde285ff8510d2505c5b603f4b6b183e68270811,7,Doku (MCI),Schade (BRE),1
10,53,0xfa26c6ccb1bf0aa785439105cde285ff8510d2505c5b603f4b6b183e68270811,8,Semenyo (MCI),Semenyo (MCI),0
10,53,0xfa26c6ccb1bf0aa785439105cde285ff8510d2505c5b603f4b6b183e68270811,9,Haaland (MCI),Welbeck (BHA),2
10,53,0xfa26c6ccb1bf0aa785439105cde285ff8510d2505c5b603f4b6b183e68270811,10,Thiago (BRE),Thiago (BRE),2
10,53,0xfa26c6ccb1bf0aa785439105cde285ff8510d2505c5b603f4b6b183e68270811,11,Watkins (AVL),Watkins (AVL),17
10,53,0xfa26c6ccb1bf0aa785439105cde285ff8510d2505c5b603f4b6b183e68270811,Лава1,Tarkowski (EVE),Tarkowski (EVE),1
10,53,0xfa26c6ccb1bf0aa785439105cde285ff8510d2505c5b603f4b6b183e68270811,Лава2,Schade (BRE),Schade (BRE),1
10,53,0xfa26c6ccb1bf0aa785439105cde285ff8510d2505c5b603f4b6b183e68270811,Лава3,Welbeck (BHA),Welbeck (BHA),2
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,1,Raya (ARS),Raya (ARS),6
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,2,Khusanov (MCI),Khusanov (MCI),0
