address,toursEntered,eplTours,wcTours,bestRank,podiums,topTen,prizesWon,prizeMOVE,prizeUSDCx,unclaimedMOVE,unclaimedUSDCx,bracketPrediction
0x56970332a896a0c247355bf45a55e2b54bb1a1dbf836658143fc9af63f12b27b,2,2,0,62,0,0,0,0,0,0,0,
0xba327a86d02addbce63adc0a02810cb0f28571b10e3c9f0996db297214a0cb14,2,2,0,64,0,0,0,0,0,0,0,
0x397952de3c7a5b8772248c0d0761f6a420edd135fda43c44cb735a0237deac37,2,2,0,72,0,0,0,0,0,0,0,
0x7ffff878e9c660724d33d2997752815fbddc04d22869b52e533f131424451cb7,2,2,0,77,0,0,0,0,0,0,0,
0xc07adbc00d6eab921e7a11d23e8cfbf0d4f496905c849a8c004ac0782eb50c20,2,2,0,78,0,0,0,0,0,0,0,
0x7cf5958982a4eaca19a2e77973cd31a44cad3c9dfef1bc0d290cfcc03f994ac1,2,2,0,79,0,0,0,0,0,0,0,
0x5c7aeeee78656be5f9775d429ecef99d6ac8a607797030647c2db684f533e4cb,2,2,0,83,0,0,0,0,0,0,0,
0x91e5e605a1c3c82b80dcceaaba4c3345203c1ccc520c77548564ba5e3b3ed047,2,2,0,95,0,0,0,0,0,0,0,
0x8a981c694fea7de5d9c49eb6eae6a15411f68faad6a0179929dc16e42cccde28,2,2,0,97,0,0,0,0,0,0,0,
0xf00a9cc197d634693ea48f780e6f07bbf1ca1dd624104f74acd9af91eaf11408,2,2,0,98,0,0,0,0,0,0,0,
0xc1496a304cb46ac76cca5277d1ba1472df72b84e4a4c7e8b23dc4005e7431c18,2,2,0,104,0,0,0,0,0,0,0,
0x82cc3cee45a3468ffad10fc7f381ad80cac183126bb5f3f5df951000c3188038,2,2,0,111,0,0,0,0,0,0,0,
0x5afc1d50bf05625a9cee3863455e0bcc578d861029f997b85f7f6e17c1dc6bcb,2,2,0,112,0,0,0,0,0,0,0,
0x670f7f627323b23a67cd8a11fdd5152ce30737d5aae92b4bf9d032ad192efe7d,1,1,0,1,1,1,1,12082.5,0,0,0,
0x313d6a0d01490e2b0f509cf8aecd2b9bc838f425d6093a75935a42017df61e77,1,1,0,3,1,1,1,1575.5,0,1575.5,0,
0xa48fb9cb6b2527913841a5df672d0f5f6ddcbb9d304930ba662d1caa39d063f7,1,1,0,3,1,1,1,1575.5,0,0,0,
0x8af3dd44c1671619cb6cdc0bddfc56cdf0b43a8c6d2e29349d029c857fb98ee0,1,1,0,3,1,1,1,6041.25,0,0,0,
0x642525172d7b25108671bc26ba13c63461eea76b419c04a88553e54146c2ba3c,1,0,1,4,0,1,1,0,8.4,0,8.4,yes
0xb2d7c1255d14a40c846140317afbce95f789c65cae9846f029c9dd643612a853,1,0,1,5,0,1,1,0,3.2,0,3.2,
0x9dfcb8635ef27d60b5cfe6ad62a24a21dc9bb2f48edd2cab8159378a233ef1e6,1,1,0,6,0,1,1,63,0,63,0,
0x83d0d8ffe4b2d274c41e61500ef40288ae4f7b9301e8af2d0959b83404549a7a,1,0,1,6,0,1,1,0,4.725,0,4.725,yes
0xb66cff2f5c18380b404b11349cfdd2c22d2a40d5102b1ca6df05353638fe1782,1,1,0,9,0,1,1,31.5,0,31.5,0,
0x54413534c7f99d9098b3de02f60f5cfdfdea5758e2e74bb1c865adffd9509fb9,1,1,0,10,0,1,1,805.5,0,0,0,
0xf0e97efa3cd898fa56cdfbac5ebfca7940c53e30bc02686b7332813cb8b40b34,1,1,0,12,0,0,0,0,0,0,0,
0xaf77f9815b0e7ebaa478aeba7ba087cb8c46b3f0c5d9013da574351020e04bfb,1,1,0,13,0,0,0,0,0,0,0,
0x8157d575937e2413c8ccb044ee948243a4d15c07822ded80a80a11fbe4acf553,1,1,0,15,0,0,0,0,0,0,0,
0xf8e9775cd8f27ff59609e1c5450612df579471a6d30c3707bc8ad8b35b78ac8c,1,1,0,15,0,0,0,0,0,0,0,
0x50ec74ab66efd72c3662cad3af8629effe5d0c88daf0f1f4b149834838f19fd2,1,1,0,16,0,0,0,0,0,0,0,
0xfbc475e674d969697cdc3abf65cb63154abb08e0766c4f7798a0618e9291938a,1,1,0,16,0,0,0,0,0,0,0,
0x17b2a28c7f6bce9965e87d0889ee6238889d00c8e25210ffd5ec9d7e2e982c32,1,1,0,19,0,0,0,0,0,0,0,
0x215093b8867cdad25a0054769df30bb3623404107144d1fb1be2046af270053d,1,0,1,21,0,0,0,0,0,0,0,yes
0xf0256748930d085e32432a04e66c1a9babdf65b51869defef28d3e433084f8cb,1,1,0,23,0,0,0,0,0,0,0,
0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,1,1,0,24,0,0,0,0,0,0,0,
0x5650746f505574f2761dff11fab7f35b2e90f598d3c28c359d5f8f70ec29d60c,1,1,0,24,0,0,0,0,0,0,0,
0x1430e50a1de877c13428cfd33e8a1a9899cae1e933e003bb78a54adec1ded09c,1,1,0,25,0,0,0,0,0,0,0,
0xea1cbfc0edc2296b81fa1b4c6318b1afbd89bb585bffe4b2b726e8ad13da9c2a,1,1,0,27,0,0,0,0,0,0,0,
0xb5a23c9713a009015f8f6b1a4aa4e2597f1aa40c4d4f8fdb765c296be572c19e,1,1,0,31,0,0,0,0,0,0,0,
0xf9ab26bd2fe3379c2e178aac9e77735e6f5e76bb2cc5b067095d0328ffa530e9,1,1,0,32,0,0,0,0,0,0,0,
0x7d78bf5b357fec6da1e685ae9c0227e3f2e0b069f97532dba9c4992ecac8ef1b,1,1,0,33,0,0,0,0,0,0,0,
0xeb8b329d99f700c831baeeb8910a9ef7031250d41264e132d8e68e008d5ef501,1,1,0,36,0,0,0,0,0,0,0,
0x8fabdcf9bbb1f965bd7a42d332d2af6fd3e1ae45c694f33cc9b74ce449871335,1,1,0,38,0,0,0,0,0,0,0,
0x2d9e2e429fecf088618bd4e95100c9c39daf9514cec096ab4a1e1b9c93abc47e,1,1,0,38,0,0,0,0,0,0,0,
0x260347ee2d5a0dad326d145cbb866c393da1e196aa5fdb598e89192c0b26bd29,1,1,0,39,0,0,0,0,0,0,0,
0x536c770b4680163424338c818c07498f012db71b608f0c98c3d07190167d2a70,1,1,0,43,0,0,0,0,0,0,0,
0xbc56d8cef81bd4907a32528894df29754d2c399594749a5fa62a6b4842e73c6f,1,1,0,43,0,0,0,0,0,0,0,
0x8982da13a66b94733675dc05415b6188f7e738e82ccf2f8d29e2cc23f3f700df,1,1,0,43,0,0,0,0,0,0,0,
0xe5f668c48f9577d8440e0b354c5bddbb09a252374833e2fa1f737dbd390cc446,1,1,0,43,0,0,0,0,0,0,0,
0xe89b2e70f38f2354a0b593db88abd8c0fc088c00d2e13140a765abfef1cee41b,1,1,0,45,0,0,0,0,0,0,0,
0x3460d43aff559c46397f0a345bffa75aa6429e34f20ad3ca2517a6b0b82c864f,1,1,0,46,0,0,0,0,0,0,0,
